Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,12637273429.1339,15110642875.5965,13907464500.1489,14271738366.7917,15470087926.2484,13530749289.7861,15082636722.856,16105156375.5848,17031943186.1353,16725908661.9419,14960291540.5283,18737066306.9659,20352322157.1467
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,10109619736.1442,12080295984.7682,12561015145.3925,13444300489.8634,13943016080.2646,11832159315.9778,12833363043.9719,14106955625.3571,15890066209.8959,16178161666.1334,17933606212.6294,19737616003.022,18884619613.4388
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,2032135191.46211,2235820808.72908,2333341334.45753,2451606631.76696,2705783330.38796,3104003545.60675,2644487777.23693,2723586962.18686,2667182198.97925,2576518879.39881,2649680261.01097,2775798697.16485,3073414677.84385
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1824751459.69304,2046817974.90838,1913081206.32052,2028910915.16446,2041930125.42979,1749857628.40716,1849789992.74328,1996741544.61549,2205099509.15921,2266752197.42617,1878277311.2253,2091741774.10772,2314816792.06291
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,27507501809.2414,30630910513.0616,30155062302.8443,33728621190.2114,36386544716.0794,32210233021.5735,33814337040.7804,36098547058.7877,39973842058.565,39670976440.3158,40773241211.6941,45338285386.1044,44341646509.2193
Central African Republic,CAF,GDP (current US$),NY.GDP.MKTP.CD,2142591539.43526,2437982706.57499,2510126509.99501,1691544110.6915,1894813389.88175,1695825714.2427,1825018144.46187,2072349974.15272,2220979144.52008,2221301350.75537,2326720902.35741,2516498412.31361,2382618615.3562
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,10668103549.3123,12172308858.2993,12367362746.1307,12953534870.304,13940767222.1053,10950392257.2764,10097778097.0969,10000394388.1158,11239167890.2816,11314951088.2451,10715396051.4388,11779981332.1599,12704149842.0373
"Congo, Dem. Rep.",COD,GDP (current US$),NY.GDP.MKTP.CD,21565721036.3591,25839749198.8233,29306235295.3371,32679745036.2659,35909040943.885,37917706485.5896,37134801548.836,38019264804.5125,47568210020.9338,51775829868.7669,48716961864.5378,55350968593.0597,58065953573.3247
"Congo, Rep.",COG,GDP (current US$),NY.GDP.MKTP.CD,13148396205.671,15655383585.9887,17692911280.5627,17958720704.4596,17912907682.0663,11890259176.6829,10219341017.1383,11094823676.5914,13670038019.8594,12750338736.1661,10483151093.6873,13366230821.3293,14615532210.0523
Cote d'Ivoire,CIV,GDP (current US$),NY.GDP.MKTP.CD,34936307964.3213,36693710822.2216,36302302844.0196,42760235496.3898,48843005625.0307,45815005170.6127,48407761031.6758,52512344033.9625,58522477744.7313,59898479821.1946,62982768371.5174,71811075954.676,70018715016.6967
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,1128611700.3618,1239144501.77525,1353632941.5207,2042817162.85639,2214679081.25658,2424391785.43897,2604955228.70117,2762581334.22612,2913466732.12507,3088853638.56832,3181071153.6622,3372287461.80812,3515109075.46098
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,218983666061.706,235989672977.625,279116666666.667,288434108527.132,305595408895.265,329366576819.407,332441717791.411,248362771739.13,262588632526.73,318678815489.749,383817841547.099,424671765455.704,476747720364.742
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,16314443428.9392,21357343681.8949,22388344123.9938,21948834290.3521,21765453087.479,13185496881.4052,11240808846.6924,12200913887.6428,13097012124.2261,11364133546.2494,10099157995.5789,12269393392.1579,11813908447.8131
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,1589515447.15447,2065001626.01626,..,..,..,..,..,..,..,..,..,..,..
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,4438765109.49036,4820478592.33503,4886551706.18441,4597552948.64649,4422986447.48958,4063245671.29285,3816019222.86268,4402969225.92165,4666598023.91856,4466214522.19539,3982236726.3678,4748702400.66283,4854167638.37388
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,14372593013.8124,18210307754.4426,17170464000.7824,17595744803.6041,18203966900.4404,14383107763.1182,14023890263.875,14929487495.759,16867326389.8696,16874405460.1964,15314577167.8199,20217946921.2063,21071739227.9428
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,1543294945.45714,1409693594.05748,1415004743.17939,1375609459.78172,1229461731.70458,1378176605.93705,1484578897.15783,1504909447.77459,1670671340.37966,1813609679.15313,1812170878.30632,2038414973.57173,2273060863.13981
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,32197648061.1663,39336668080.559,41271708599.715,62824629066.0408,54783320576.8882,49406014245.4296,56164933479.4044,60405920071.1024,67298913752.0241,68337974418.7681,70043095503.2503,79156409409.8581,72838798787.7066
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,849878489.113364,1099818591.95727,989271155.126905,1046087367.44973,1054915581.36774,1048229632.99726,1179004911.26075,1350177012.24771,1504630233.68639,1439638410.99593,1431758231.68287,1638517606.88578,1633559092.06611
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,6853467832.6761,6785137215.23269,7638045225.63676,8376613880.25749,8778473643.01989,8794202394.72245,8595955600.7877,10324668270.876,11857030366.4598,13442861496.5747,14177835840.8311,16091817842.2348,21227749388.7287
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,45405615233.0693,46869473165.8905,56396704833.4676,61671440480.6895,68285796662.6532,70120446663.6256,74815143796.3978,82036511258.8324,92202979940.671,100378435824.178,100657505600.655,109703659312.872,113420008178.793
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,1998000000,2398000000,2791614000,3177198100,3225652000,3227075700,3398419600,3390703400,3422754800,3319596500,3039982500,3509000000,4001047150
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,75380800664.4198,48169243831.9141,92540964665.5578,75351117628.308,57372352562.4888,48717506272.6981,49912085228.3487,67157451660.2727,76686048499.3527,69254143968.3398,46808208747.2754,39798423941.0335,45752336035.9846
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,9982711338.11814,11551819617.6271,11578975063.7975,12423555457.0352,12522957401.0395,11323020699.9128,11848613859.5279,13176313593.5509,13760033282.6071,14104664677.9627,13051441203.4474,14554754115.2112,14954967604.4073
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,10128323010.6049,11648142958.3651,8773203178.16512,8031571927.62055,8801326169.14547,9219474373.16418,7909868618.46366,8943543677.18899,9880675785.93057,11025371147.1876,12056108780.2073,12602334123.7637,13164667626.9363
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,10689168011.4449,12995112698.0102,12442035328.035,13242690790.0557,14364937127.7002,13104764378.7114,14026048334.2131,15365713059.1057,17070867577.6666,17280250805.2245,17465392779.0366,19309463505.9833,18827176532.3169
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,11104649065.1649,14381552466.6044,16350813486.9908,16974314296.2182,17716091057.2675,15950979333.1582,11936993086.9579,13219079497.7055,14845400592.6712,15390031039.9957,14156864916.4711,15776757419.5197,17851491427.6765
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,11431412421.1316,12523359440.5499,13042053856.9696,12043307277.1235,12435430396.1929,11335161230.1608,10722018975.0783,12895153160.466,13682019171.6627,12541928102.7657,10583748757.3345,12446290854.8973,12607436975.946
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,7851192498.77154,8772950783.02414,9426912639.20382,10224897440.9239,10862943546.2851,9683867926.72766,10398861980.6524,11185101444.3729,12808661487.4035,12916454870.5458,13744174582.2532,14915002098.4975,13969605582.5202
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,6124693374.47064,6884907733.00484,7654782978.58736,7820052084.03387,8239042500.28733,8543869360.36164,8695318854.11055,9252833678.08916,9636510839.30707,10346675636.3397,10172925171.5869,11055281971.0454,13312796765.2336
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,16121315901.8117,17814283649.9367,17660870395.8103,18918667730.5417,19797253445.2673,17774766696.6987,19040312331.1615,20996562958.501,23116701539.5646,23403995984.9306,24530513058.5946,27569136728.2565,27684430244.4907
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,2578159479.90083,2932274241.9741,3789251962.27583,4920343203.30269,5015180836.19495,4252029353.82191,3862721204.61052,3719443317.52413,4085114542.06831,4076578653.54714,4062906363.55623,4249234573.98708,3970343852.31939
Somalia,SOM,GDP (current US$),NY.GDP.MKTP.CD,..,..,..,4577000011.76017,5024999991.72061,5335000000,5534000000,5609000000,5856000006.22021,6485000000,6883000000,7628000011.46357,8126105600
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,417363825016.286,458199486480.576,434400545085.811,400886013595.573,381198869776.106,346709790458.563,323585509674.481,381448814653.456,404158882459.024,388531226582.351,337619569570.511,419015636064.711,405869718462.343
South Sudan,SSD,GDP (current US$),NY.GDP.MKTP.CD,14602072410.9506,14907308932.7534,11931472169.4915,18426469016.9492,13962212847.4576,11997800760.2242,..,..,..,..,..,..,..
Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,74151157011.5251,78402841444.9524,63196236489.3704,66027147864.7915,76818773784.7605,84984672415.9401,102943515502.994,129718581297.431,32333780383.2924,32338079165.2893,27034593750,34229513774.9936,51662241775.2425
Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,32014247547.5146,34657141720.6759,39650522645.9811,45680532613.7591,49964825081.1078,47378603783.6471,49774004999.2038,53275968094.8533,57003686049.4102,61026765850.3054,66068737757.2651,70655628140.5826,75709289056.4457
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,4660369658.37123,5262368232.30347,5263522037.22724,5872790935.48729,6217047648.63985,5681469374.10362,6031632014.86013,6395472028.24361,7029217931.75029,6992656428.93581,7389329392.7704,8334047485.51396,8126439480.61302
Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,26673441432.4579,27871725245.1688,27305915907.9939,28915786520.3935,32612397253.2395,32387183733.0207,29203988697.459,30744473839.7439,32927025621.3848,35348155092.292,37605430214.347,40510241365.9029,45559202048.7345
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,863519541417.774,967824566958.791,975354777362.368,985987130726.701,1006526390112.83,927348469903.115,885176429223.509,1021043200767.01,1007196197587.41,1000834077088.55,927593321647.664,1081998139192.47,1169483734191.46
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,598521555565.839,682015858791.681,737589473577.072,833948054767.438,894322482190.281,768644740597.116,691363412188.46,684898755570.717,767025741475.038,822538393591.447,786460035395.026,844459722152.991,877863284874.068
Sub-Saharan Africa,SSF,GDP (current US$),NY.GDP.MKTP.CD,1461708684777.31,1649496095768.74,1712723978723.04,1819935185494.14,1900848872303.11,1695993210500.23,1576539841411.97,1705941956337.72,1774221939062.45,1823372470680,1714053357042.69,1926457861345.46,2047347019065.53
